===== สรุปผลการสแกนตลาด 2025-05-03 09:06:11 =====

สัญญาที่สแกน: 150
สัญญาณ BUY: 22
สัญญาณ SELL: 17
สัญญาณ HOLD: 111

===== เหรียญทั้งหมดเรียงตามคะแนนจากมากไปน้อย =====
1. 🟢 AIOTUSDT (คะแนน: 10.0) - ราคา: 0.388390 | Entry: 0.323924 | SL: 0.235720 | TP: 0.402000 | R:R 1:0.9 - แตกแนวต้านขึ้นไป ที่ราคา 0.309300, เมื่อ 9 แท่งที่แล้ว, ยังไม่มี retest
118. 🟡 MUBARAKUSDT (คะแนน: 5.3) - ราคา: 0.035020 - แตกแนวต้านขึ้นไป ที่ราคา 0.035415, เมื่อ 5 แท่งที่แล้ว, ยังไม่มี retest
119. 🟡 NKNUSDT (คะแนน: 5.2) - ราคา: 0.037830 - แตกแนวต้านขึ้นไป ที่ราคา 0.038512, เมื่อ 21 แท่งที่แล้ว, ยังไม่มี retest
120. 🟡 1000SATSUSDT (คะแนน: 5.2) - ราคา: 0.000044 - แตกแนวต้านขึ้นไป ที่ราคา 0.000047, เมื่อ 25 แท่งที่แล้ว, ยังไม่มี retest
121. 🟡 MYROUSDT (คะแนน: 5.1) - ราคา: 0.024260 - แตกแนวต้านขึ้นไป ที่ราคา 0.025062, เมื่อ 20 แท่งที่แล้ว, ยังไม่มี retest
122. 🟡 MEUSDT (คะแนน: 5.0) - ราคา: 1.013000 - แตกแนวต้านขึ้นไป ที่ราคา 1.067000, เมื่อ 29 แท่งที่แล้ว, ยังไม่มี retest
123. 🟡 EIGENUSDT (คะแนน: 5.0) - ราคา: 0.945000 - แตกแนวต้านขึ้นไป ที่ราคา 1.002967, เมื่อ 27 แท่งที่แล้ว, ยังไม่มี retest
124. 🟡 AVAUSDT (คะแนน: 4.9) - ราคา: 0.637400 - แตกแนวต้านขึ้นไป ที่ราคา 0.639000, เมื่อ 4 แท่งที่แล้ว, ยังไม่มี retest
125. 🟡 HEIUSDT (คะแนน: 4.9) - ราคา: 0.351800 - แตกแนวต้านขึ้นไป ที่ราคา 0.394225, เมื่อ 30 แท่งที่แล้ว, ยังไม่มี retest
126. 🟡 XLMUSDT (คะแนน: 4.8) - ราคา: 0.272170 - แตกแนวต้านขึ้นไป ที่ราคา 0.273778, เมื่อ 26 แท่งที่แล้ว, ยังไม่มี retest
127. 🟡 ZROUSDT (คะแนน: 4.8) - ราคา: 2.663200 - แตกแนวต้านขึ้นไป ที่ราคา 2.731933, เมื่อ 18 แท่งที่แล้ว, ยังไม่มี retest
128. 🟡 PEOPLEUSDT (คะแนน: 4.7) - ราคา: 0.015120 - แตกแนวต้านขึ้นไป ที่ราคา 0.015924, เมื่อ 25 แท่งที่แล้ว, ยังไม่มี retest
129. 🟡 ARBUSDT (คะแนน: 4.6) - ราคา: 0.335700 - แตกแนวต้านขึ้นไป ที่ราคา 0.341740, เมื่อ 26 แท่งที่แล้ว, ยังไม่มี retest
130. 🟡 HIPPOUSDT (คะแนน: 4.5) - ราคา: 0.002067 - แตกแนวต้านขึ้นไป ที่ราคา 0.002395, เมื่อ 29 แท่งที่แล้ว, ยังไม่มี retest
131. 🟡 FETUSDT (คะแนน: 4.5) - ราคา: 0.706900 - แตกแนวต้านขึ้นไป ที่ราคา 0.717567, เมื่อ 12 แท่งที่แล้ว, ยังไม่มี retest
132. 🟡 KERNELUSDT (คะแนน: 4.3) - ราคา: 0.173100 - แตกแนวต้านขึ้นไป ที่ราคา 0.180167, เมื่อ 30 แท่งที่แล้ว, ยังไม่มี retest
133. 🟡 CRVUSDT (คะแนน: 4.2) - ราคา: 0.727000 - แตกแนวต้านขึ้นไป ที่ราคา 0.706333, เมื่อ 30 แท่งที่แล้ว, ยังไม่มี retest
134. 🟡 OMNIUSDT (คะแนน: 4.1) - ราคา: 2.309000 - แตกแนวต้านขึ้นไป ที่ราคา 2.488000, เมื่อ 21 แท่งที่แล้ว, ยังไม่มี retest
135. 🟡 HBARUSDT (คะแนน: 4.0) - ราคา: 0.184290 - แตกแนวต้านขึ้นไป ที่ราคา 0.189263, เมื่อ 24 แท่งที่แล้ว, ยังไม่มี retest
136. 🟡 RUNEUSDT (คะแนน: 4.0) - ราคา: 1.301000 - แตกแนวต้านขึ้นไป ที่ราคา 1.397667, เมื่อ 30 แท่งที่แล้ว, ยังไม่มี retest
137. 🟡 SUIUSDT (คะแนน: 3.8) - ราคา: 3.374000 - แตกแนวต้านขึ้นไป ที่ราคา 3.549800, เมื่อ 26 แท่งที่แล้ว, ยังไม่มี retest
138. 🟡 1000BONKUSDT (คะแนน: 3.6) - ราคา: 0.018166 - แตกแนวต้านขึ้นไป ที่ราคา 0.018801, เมื่อ 26 แท่งที่แล้ว, ยังไม่มี retest
139. 🟡 VOXELUSDT (คะแนน: 3.5) - ราคา: 0.094140 - แตกแนวต้านขึ้นไป ที่ราคา 0.095863, เมื่อ 14 แท่งที่แล้ว, ยังไม่มี retest
140. 🟡 NOTUSDT (คะแนน: 3.1) - ราคา: 0.002376 - แตกแนวต้านขึ้นไป ที่ราคา 0.002474, เมื่อ 18 แท่งที่แล้ว, ยังไม่มี retest
141. 🟡 ACHUSDT (คะแนน: 3.1) - ราคา: 0.026634 - แตกแนวต้านขึ้นไป ที่ราคา 0.028064, เมื่อ 24 แท่งที่แล้ว, ยังไม่มี retest
142. 🟡 CATIUSDT (คะแนน: 2.5) - ราคา: 0.095600 - แตกแนวต้านขึ้นไป ที่ราคา 0.097950, เมื่อ 11 แท่งที่แล้ว, ยังไม่มี retest
143. 🟡 PROMPTUSDT (คะแนน: 2.1) - ราคา: 0.344300 - แตกแนวต้านขึ้นไป ที่ราคา 0.370640, เมื่อ 15 แท่งที่แล้ว, ยังไม่มี retest
144. 🟡 SXTUSDT (คะแนน: 0.0) - ราคา: 0.379170 - 
145. 🟡 AIXBTUSDT (คะแนน: 0.0) - ราคา: 0.188500 - 
146. 🟡 WLDUSDT (คะแนน: 0.0) - ราคา: 1.008000 - 
147. 🟡 VVVUSDT (คะแนน: 0.0) - ราคา: 4.251000 - 
148. 🟡 BSWUSDT (คะแนน: 0.0) - ราคา: 0.044970 - 
149. 🟡 MEMEFIUSDT (คะแนน: 0.0) - ราคา: 0.004266 - 
150. 🟡 ALPHAUSDT (คะแนน: 0.0) - ราคา: 0.035330 - 

🟢 เหรียญที่มีสัญญาณ BUY (22)
  1. AIOTUSDT - ราคา: 0.388390 - คะแนน: 10.0 | Entry: 0.323924 | SL: 0.235720 | TP: 0.402000 | R:R 1:0.9 - แตกแนวต้านขึ้นไป ที่ราคา 0.309300, เมื่อ 9 แท่งที่แล้ว, ยังไม่มี retest
  2. HAEDALUSDT - ราคา: 0.196085 - คะแนน: 10.0 | Entry: 0.182245 | SL: 0.151000 | TP: 0.208800 | R:R 1:0.8 - แตกแนวต้านขึ้นไป ที่ราคา 0.175900, เมื่อ 3 แท่งที่แล้ว, ยังไม่มี retest
  3. AERGOUSDT - ราคา: 0.192790 - คะแนน: 10.0 | Entry: 0.175723 | SL: 0.160570 | TP: 0.206030 | R:R 1:2.0 - แตกแนวต้านขึ้นไป ที่ราคา 0.172715, เมื่อ 2 แท่งที่แล้ว, ยังไม่มี retest
  4. STOUSDT - ราคา: 0.204890 - คะแนน: 10.0 | Entry: 0.156434 | SL: 0.118150 | TP: 0.182940 | R:R 1:0.7 - แตกแนวต้านขึ้นไป ที่ราคา 0.150027, เมื่อ 16 แท่งที่แล้ว, ยังไม่มี retest
  5. AVAAIUSDT - ราคา: 0.073940 - คะแนน: 10.0 | Entry: 0.067365 | SL: 0.061925 | TP: 0.075720 | R:R 1:1.5 - แตกแนวต้านขึ้นไป ที่ราคา 0.066005, เมื่อ 15 แท่งที่แล้ว, ยังไม่มี retest
  6. BMTUSDT - ราคา: 0.144600 - คะแนน: 10.0 | Entry: 0.144600 | SL: 0.137100 | TP: 0.147900 | R:R 1:0.4 - แตกแนวต้านขึ้นไป ที่ราคา 0.143400, เมื่อ 7 แท่งที่แล้ว, retest แนวต้านเดิม สำเร็จ
  7. HIVEUSDT - ราคา: 0.272020 - คะแนน: 10.0 | Entry: 0.260357 | SL: 0.249435 | TP: 0.282199 | R:R 1:2.0 - แตกแนวต้านขึ้นไป ที่ราคา 0.257626, เมื่อ 2 แท่งที่แล้ว, ยังไม่มี retest
  8. KASUSDT - ราคา: 0.102100 - คะแนน: 10.0 | Entry: 0.101228 | SL: 0.097550 | TP: 0.103250 | R:R 1:0.5 - แตกแนวต้านขึ้นไป ที่ราคา 0.100363, เมื่อ 6 แท่งที่แล้ว, ยังไม่มี retest
  9. RENDERUSDT - ราคา: 4.768000 - คะแนน: 10.0 | Entry: 4.768143 | SL: 4.603571 | TP: 4.887000 | R:R 1:0.7 - แตกแนวต้านขึ้นไป ที่ราคา 4.727000, เมื่อ 11 แท่งที่แล้ว, ยังไม่มี retest
  10. ATHUSDT - ราคา: 0.032530 - คะแนน: 10.0 | Entry: 0.032276 | SL: 0.031112 | TP: 0.033960 | R:R 1:1.4 - แตกแนวต้านขึ้นไป ที่ราคา 0.031985, เมื่อ 26 แท่งที่แล้ว, ยังไม่มี retest
  11. HIGHUSDT - ราคา: 0.638900 - คะแนน: 9.8 | Entry: 0.620464 | SL: 0.575207 | TP: 0.676100 | R:R 1:1.2 - แตกแนวต้านขึ้นไป ที่ราคา 0.609150, เมื่อ 24 แท่งที่แล้ว, ยังไม่มี retest
  12. ZEREBROUSDT - ราคา: 0.050160 - คะแนน: 9.4 | Entry: 0.050160 | SL: 0.046856 | TP: 0.052250 | R:R 1:0.6 - แตกแนวต้านขึ้นไป ที่ราคา 0.049672, เมื่อ 30 แท่งที่แล้ว, retest แนวต้านเดิม สำเร็จ
  13. PUNDIXUSDT - ราคา: 0.600200 - คะแนน: 9.0 | Entry: 0.585986 | SL: 0.525643 | TP: 0.628400 | R:R 1:0.7 - แตกแนวต้านขึ้นไป ที่ราคา 0.570900, เมื่อ 5 แท่งที่แล้ว, ยังไม่มี retest
  14. VINEUSDT - ราคา: 0.047930 - คะแนน: 8.9 | Entry: 0.047653 | SL: 0.041348 | TP: 0.053530 | R:R 1:0.9 - แตกแนวต้านขึ้นไป ที่ราคา 0.046077, เมื่อ 25 แท่งที่แล้ว, ยังไม่มี retest
  15. CHILLGUYUSDT - ราคา: 0.051260 - คะแนน: 8.9 | Entry: 0.045588 | SL: 0.041289 | TP: 0.052400 | R:R 1:1.6 - แตกแนวต้านขึ้นไป ที่ราคา 0.044513, เมื่อ 27 แท่งที่แล้ว, ยังไม่มี retest
  16. EOSUSDT - ราคา: 0.714000 - คะแนน: 8.5 | Entry: 0.708393 | SL: 0.690821 | TP: 0.725000 | R:R 1:0.9 - แตกแนวต้านขึ้นไป ที่ราคา 0.704000, เมื่อ 24 แท่งที่แล้ว, ยังไม่มี retest
  17. BROCCOLI714USDT - ราคา: 0.039420 - คะแนน: 8.4 | Entry: 0.036332 | SL: 0.033136 | TP: 0.041700 | R:R 1:1.7 - แตกแนวต้านขึ้นไป ที่ราคา 0.035533, เมื่อ 8 แท่งที่แล้ว, ยังไม่มี retest
  18. TURBOUSDT - ราคา: 0.005405 - คะแนน: 7.5 | Entry: 0.005441 | SL: 0.005113 | TP: 0.005960 | R:R 1:1.6 - แตกแนวต้านขึ้นไป ที่ราคา 0.005359, เมื่อ 17 แท่งที่แล้ว, ยังไม่มี retest
  19. FHEUSDT - ราคา: 0.106050 - คะแนน: 7.2 | Entry: 0.106849 | SL: 0.086350 | TP: 0.110720 | R:R 1:0.2 - แตกแนวต้านขึ้นไป ที่ราคา 0.104424, เมื่อ 3 แท่งที่แล้ว, ยังไม่มี retest
  20. FISUSDT - ราคา: 0.245300 - คะแนน: 6.9 | Entry: 0.238290 | SL: 0.227660 | TP: 0.252580 | R:R 1:1.3 - แตกแนวต้านขึ้นไป ที่ราคา 0.235770, เมื่อ 13 แท่งที่แล้ว, ยังไม่มี retest
  21. VIRTUALUSDT - ราคา: 1.718300 - คะแนน: 6.7 | Entry: 1.707286 | SL: 1.595200 | TP: 1.792100 | R:R 1:0.8 - แตกแนวต้านขึ้นไป ที่ราคา 1.683300, เมื่อ 17 แท่งที่แล้ว, ยังไม่มี retest
  22. TRXUSDT - ราคา: 0.248640 - คะแนน: 6.5 | Entry: 0.247910 | SL: 0.245860 | TP: 0.249360 | R:R 1:0.7 - แตกแนวต้านขึ้นไป ที่ราคา 0.247540, เมื่อ 4 แท่งที่แล้ว, ยังไม่มี retest

🔴 เหรียญที่มีสัญญาณ SELL (17)
  1. TIAUSDT - ราคา: 2.528600 - คะแนน: 10.0 | Entry: 2.589727 | SL: 2.659300 | TP: 2.566100 | R:R 1:0.3 - แตกแนวรับลงมา ที่ราคา 2.606567, เมื่อ 19 แท่งที่แล้ว, ยังไม่มี retest
  2. REZUSDT - ราคา: 0.013520 - คะแนน: 10.0 | Entry: 0.013520 | SL: 0.014470 | TP: 0.013380 | R:R 1:0.1 - แตกแนวรับลงมา ที่ราคา 0.013627, เมื่อ 7 แท่งที่แล้ว, retest แนวรับเดิม สำเร็จ
  3. TSTUSDT - ราคา: 0.063700 - คะแนน: 10.0 | Entry: 0.063700 | SL: 0.066857 | TP: 0.060600 | R:R 1:1.0 - แตกแนวรับลงมา ที่ราคา 0.065250, เมื่อ 23 แท่งที่แล้ว, retest แนวรับเดิม สำเร็จ
  4. LPTUSDT - ราคา: 4.817000 - คะแนน: 10.0 | Entry: 4.915964 | SL: 5.159000 | TP: 4.809000 | R:R 1:0.4 - แตกแนวรับลงมา ที่ราคา 4.953250, เมื่อ 10 แท่งที่แล้ว, ยังไม่มี retest
  5. BERAUSDT - ราคา: 3.364000 - คะแนน: 9.2 | Entry: 3.370833 | SL: 3.452833 | TP: 3.337000 | R:R 1:0.4 - แตกแนวรับลงมา ที่ราคา 3.391333, เมื่อ 7 แท่งที่แล้ว, ยังไม่มี retest
  6. SHELLUSDT - ราคา: 0.196000 - คะแนน: 8.9 | Entry: 0.198774 | SL: 0.206500 | TP: 0.183321 | R:R 1:2.0 - แตกแนวรับลงมา ที่ราคา 0.200567, เมื่อ 2 แท่งที่แล้ว, ยังไม่มี retest
  7. ALGOUSDT - ราคา: 0.212100 - คะแนน: 8.3 | Entry: 0.213492 | SL: 0.220100 | TP: 0.212600 | R:R 1:0.1 - แตกแนวรับลงมา ที่ราคา 0.214817, เมื่อ 7 แท่งที่แล้ว, ยังไม่มี retest
  8. GUNUSDT - ราคา: 0.055000 - คะแนน: 8.1 | Entry: 0.056674 | SL: 0.059160 | TP: 0.053050 | R:R 1:1.5 - แตกแนวรับลงมา ที่ราคา 0.057200, เมื่อ 3 แท่งที่แล้ว, ยังไม่มี retest
  9. 1000PEPEUSDT - ราคา: 0.008530 - คะแนน: 8.1 | Entry: 0.008600 | SL: 0.008849 | TP: 0.008547 | R:R 1:0.2 - แตกแนวรับลงมา ที่ราคา 0.008662, เมื่อ 16 แท่งที่แล้ว, ยังไม่มี retest
  10. BANUSDT - ราคา: 0.044280 - คะแนน: 8.0 | Entry: 0.047283 | SL: 0.048923 | TP: 0.046200 | R:R 1:0.7 - แตกแนวรับลงมา ที่ราคา 0.047693, เมื่อ 27 แท่งที่แล้ว, ยังไม่มี retest
  11. FLMUSDT - ราคา: 0.041300 - คะแนน: 8.0 | Entry: 0.041562 | SL: 0.043048 | TP: 0.041400 | R:R 1:0.1 - แตกแนวรับลงมา ที่ราคา 0.041933, เมื่อ 16 แท่งที่แล้ว, ยังไม่มี retest
  12. OMUSDT - ราคา: 0.426400 - คะแนน: 7.9 | Entry: 0.443438 | SL: 0.461646 | TP: 0.441180 | R:R 1:0.1 - แตกแนวรับลงมา ที่ราคา 0.447990, เมื่อ 19 แท่งที่แล้ว, ยังไม่มี retest
  13. ENAUSDT - ราคา: 0.304000 - คะแนน: 7.7 | Entry: 0.318460 | SL: 0.329000 | TP: 0.306200 | R:R 1:1.2 - แตกแนวรับลงมา ที่ราคา 0.320667, เมื่อ 23 แท่งที่แล้ว, ยังไม่มี retest
  14. MOVEUSDT - ราคา: 0.188000 - คะแนน: 7.6 | Entry: 0.186806 | SL: 0.196300 | TP: 0.167819 | R:R 1:2.0 - แตกแนวรับลงมา ที่ราคา 0.188760, เมื่อ 27 แท่งที่แล้ว, ยังไม่มี retest
  15. DEEPUSDT - ราคา: 0.182250 - คะแนน: 7.0 | Entry: 0.188313 | SL: 0.195532 | TP: 0.188250 | R:R 1:0.0 - แตกแนวรับลงมา ที่ราคา 0.190118, เมื่อ 20 แท่งที่แล้ว, ยังไม่มี retest
  16. BROCCOLIF3BUSDT - ราคา: 0.023784 - คะแนน: 6.6 | Entry: 0.025599 | SL: 0.030322 | TP: 0.024058 | R:R 1:0.3 - แตกแนวรับลงมา ที่ราคา 0.026000, เมื่อ 16 แท่งที่แล้ว, ยังไม่มี retest
  17. BEAMXUSDT - ราคา: 0.007775 - คะแนน: 6.6 | Entry: 0.008407 | SL: 0.009314 | TP: 0.007957 | R:R 1:0.5 - แตกแนวรับลงมา ที่ราคา 0.008466, เมื่อ 26 แท่งที่แล้ว, ยังไม่มี retest

