ชื่ออาหาร,จำนวน,ราคา,มูลค่า
ข้าวจี่,1,39,39
หมูยอ,5,42,210
ต้มแซ่บ,2,127,254
ไส้กรอกอีสาน,1,62,62
ไส้กรอกอีสาน,4,35,140
ต้มแซ่บ,2,87,174
ต้มแซ่บ,5,114,570
แกงอ่อม,5,42,210
น้ำตกหมู,2,63,126
ข้าวเหนียว,1,117,117
ปลาร้าบอง,3,71,213
น้ำตกหมู,5,50,250
ข้าวเหนียว,2,122,244
ข้าวเหนียว,5,58,290
ปลาร้าบอง,4,32,128
ตำแตง,5,61,305
ต้มแซ่บ,4,150,600
ต้มแซ่บ,4,80,320
แจ่วบอง,5,92,460
ต้มแซ่บ,4,80,320
ตำไทย,2,75,150
ข้าวจี่,1,49,49
ไส้กรอกอีสาน,4,143,572
ลาบหมู,2,91,182
ลาบหมู,3,39,117
ไก่ย่าง,5,71,355
ซุปหน่อไม้,4,83,332
ปลาร้าบอง,3,35,105
ซุปหน่อไม้,2,48,96
หมกหน่อไม้,5,141,705
ตำแตง,3,126,378
ข้าวจี่,4,38,152
แหนม,3,142,426
แจ่วบอง,1,145,145
ลาบหมู,4,108,432
ข้าวเหนียว,4,130,520
ปลาดุกย่าง,4,131,524
ปลาดุกย่าง,2,51,102
หมูยอ,5,137,685
ซุปหน่อไม้,3,84,252
ข้าวจี่,1,94,94
แหนม,4,77,308
ตำปู,5,119,595
ตำแตง,1,65,65
ไก่ย่าง,5,134,670
หมูยอ,3,72,216
ข้าวจี่,2,85,170
หมกหน่อไม้,3,114,342
หมกหน่อไม้,2,96,192
น้ำตกหมู,2,89,178
ข้าวเหนียว,4,56,224
ลาบหมู,1,33,33
ก้อยปลา,1,72,72
ก้อยปลา,2,149,298
ตำแตง,2,35,70
แจ่วบอง,5,70,350
ต้มแซ่บ,4,63,252
แจ่วบอง,2,54,108
ลาบหมู,3,32,96
แจ่วบอง,1,126,126
ซุปหน่อไม้,1,101,101
ก้อยปลา,3,94,282
แกงอ่อม,3,97,291
ลาบหมู,2,83,166
ตำไทย,1,91,91
ปลาร้าบอง,3,95,285
ปลาดุกย่าง,1,121,121
ไส้กรอกอีสาน,4,104,416
แหนม,2,127,254
ตำปู,2,87,174
ไส้กรอกอีสาน,2,110,220
ต้มแซ่บ,4,148,592
ตำแตง,1,78,78
น้ำตกหมู,2,138,276
ตำไทย,2,149,298
ตำไทย,3,117,351
หมูยอ,3,66,198
ลาบหมู,3,55,165
ไส้กรอกอีสาน,4,83,332
ไก่ย่าง,2,69,138
แจ่วบอง,3,70,210
ตำไทย,3,49,147
ตำแตง,2,128,256
ตำไทย,2,48,96
ก้อยปลา,2,54,108
ตำแตง,5,67,335
ตำปู,1,33,33
ตำปู,4,132,528
น้ำตกหมู,4,59,236
หมูยอ,3,62,186
ก้อยปลา,5,149,745
หมกหน่อไม้,2,58,116
ปลาร้าบอง,3,59,177
หมูยอ,5,69,345
ซุปหน่อไม้,2,126,252
ปลาดุกย่าง,3,140,420
ส้มตำ,3,61,183
หมกหน่อไม้,2,63,126
ข้าวเหนียว,1,112,112
ข้าวจี่,5,143,715
น้ำตกหมู,5,70,350
ไส้กรอกอีสาน,3,79,237
น้ำตกหมู,2,114,228
ต้มแซ่บ,2,106,212
ต้มแซ่บ,2,42,84
ต้มแซ่บ,2,50,100
ปลาร้าบอง,4,94,376
ข้าวจี่,4,127,508
ส้มตำ,1,86,86
หมูยอ,1,84,84
ลาบหมู,2,37,74
น้ำตกหมู,3,66,198
หมกหน่อไม้,1,132,132
ไก่ย่าง,3,92,276
ก้อยปลา,4,43,172
ส้มตำ,2,42,84
ปลาร้าบอง,3,75,225
ตำปู,1,119,119
ก้อยปลา,1,146,146
แจ่วบอง,2,148,296
ข้าวจี่,5,34,170
หมูยอ,2,133,266
น้ำตกหมู,3,119,357
น้ำตกหมู,4,97,388
ข้าวเหนียว,5,149,745
ไส้กรอกอีสาน,3,65,195
น้ำตกหมู,2,110,220
น้ำตกหมู,3,146,438
ตำไทย,4,102,408
แกงอ่อม,1,90,90
หมกหน่อไม้,4,46,184
หมูยอ,3,78,234
แหนม,2,57,114
ไส้กรอกอีสาน,3,150,450
ส้มตำ,5,74,370
ข้าวเหนียว,3,111,333
หมูยอ,5,133,665
น้ำตกหมู,3,109,327
แกงอ่อม,5,86,430
ข้าวเหนียว,5,110,550
น้ำตกหมู,4,32,128
ไส้กรอกอีสาน,2,115,230
ก้อยปลา,3,62,186
ลาบหมู,5,138,690
หมกหน่อไม้,3,67,201
ตำปู,2,103,206
ข้าวจี่,2,50,100
แกงอ่อม,4,97,388
แกงอ่อม,3,83,249
ตำปู,5,145,725
ลาบหมู,3,137,411
แหนม,4,41,164
ลาบหมู,1,80,80
ตำปู,5,98,490
ซุปหน่อไม้,4,54,216
ข้าวจี่,2,48,96
ส้มตำ,4,112,448
ปลาร้าบอง,4,44,176
ตำแตง,3,35,105
แกงอ่อม,5,86,430
หมกหน่อไม้,2,60,120
น้ำตกหมู,3,65,195
ปลาร้าบอง,5,31,155
หมูยอ,5,64,320
ไส้กรอกอีสาน,4,123,492
ปลาดุกย่าง,5,114,570
ข้าวจี่,3,111,333
ไก่ย่าง,2,97,194
แกงอ่อม,4,57,228
ตำไทย,2,83,166
ต้มแซ่บ,3,144,432
ไส้กรอกอีสาน,4,69,276
ข้าวเหนียว,5,80,400
ซุปหน่อไม้,1,86,86
ตำแตง,4,61,244
แจ่วบอง,5,118,590
แจ่วบอง,4,37,148
ตำปู,5,121,605
ไส้กรอกอีสาน,3,55,165
ซุปหน่อไม้,5,81,405
ข้าวจี่,5,41,205
ต้มแซ่บ,5,90,450
ข้าวจี่,5,137,685
ก้อยปลา,2,127,254
ซุปหน่อไม้,3,118,354
ปลาดุกย่าง,3,100,300
ส้มตำ,4,74,296
ส้มตำ,4,114,456
หมกหน่อไม้,1,137,137
ตำไทย,2,91,182
ข้าวเหนียว,2,86,172
ตำแตง,1,130,130
น้ำตกหมู,4,80,320
ก้อยปลา,2,133,266
หมกหน่อไม้,1,31,31
ไส้กรอกอีสาน,5,132,660
ปลาดุกย่าง,4,117,468
ตำปู,4,134,536
ข้าวจี่,3,107,321
หมูยอ,4,114,456
แจ่วบอง,3,141,423
ตำปู,5,113,565
ไก่ย่าง,2,135,270
ก้อยปลา,4,136,544
น้ำตกหมู,1,127,127
ก้อยปลา,2,150,300
ลาบหมู,1,131,131
ตำไทย,2,125,250
ไส้กรอกอีสาน,1,103,103
ตำแตง,2,100,200
ตำไทย,2,89,178
ไส้กรอกอีสาน,1,149,149
ตำปู,1,126,126
ปลาร้าบอง,3,70,210
แหนม,1,139,139
ปลาดุกย่าง,3,145,435
ตำปู,2,31,62
ลาบหมู,5,124,620
ข้าวจี่,1,145,145
ก้อยปลา,3,95,285
ลาบหมู,4,93,372
น้ำตกหมู,4,31,124
ข้าวจี่,5,115,575
ไก่ย่าง,5,69,345
ก้อยปลา,5,52,260
ตำปู,3,82,246
แหนม,5,63,315
ไส้กรอกอีสาน,1,114,114
หมูยอ,5,70,350
ลาบหมู,1,117,117
ไก่ย่าง,5,92,460
หมูยอ,4,83,332
แกงอ่อม,1,75,75
ซุปหน่อไม้,5,107,535
ก้อยปลา,5,139,695
ต้มแซ่บ,5,62,310
น้ำตกหมู,1,48,48
แหนม,5,44,220
ตำไทย,2,123,246
ปลาดุกย่าง,1,81,81
แหนม,4,43,172
ตำไทย,1,127,127
ก้อยปลา,4,129,516
แกงอ่อม,3,110,330
ข้าวเหนียว,2,89,178
แกงอ่อม,4,103,412
ข้าวเหนียว,1,78,78
หมกหน่อไม้,2,66,132
ตำแตง,3,63,189
ไส้กรอกอีสาน,2,51,102
แกงอ่อม,3,123,369
หมูยอ,2,30,60
แจ่วบอง,2,70,140
แหนม,2,76,152
ซุปหน่อไม้,3,126,378
ข้าวเหนียว,5,104,520
แกงอ่อม,5,42,210
ต้มแซ่บ,4,146,584
ซุปหน่อไม้,5,98,490
ต้มแซ่บ,1,149,149
ปลาร้าบอง,1,77,77
ต้มแซ่บ,1,75,75
ไก่ย่าง,2,110,220
ลาบหมู,1,67,67
แกงอ่อม,2,33,66
ลาบหมู,4,47,188
ปลาดุกย่าง,2,93,186
ลาบหมู,2,94,188
ลาบหมู,2,95,190
แจ่วบอง,5,54,270
ลาบหมู,4,134,536
ต้มแซ่บ,1,116,116
น้ำตกหมู,5,148,740
ซุปหน่อไม้,2,112,224
น้ำตกหมู,3,127,381
น้ำตกหมู,4,112,448
แจ่วบอง,5,75,375
หมกหน่อไม้,4,73,292
แจ่วบอง,5,66,330
ปลาร้าบอง,3,55,165
ข้าวเหนียว,1,102,102
ปลาดุกย่าง,3,130,390
ปลาดุกย่าง,5,70,350
หมูยอ,3,91,273
ข้าวเหนียว,1,65,65
ต้มแซ่บ,4,114,456
ซุปหน่อไม้,4,67,268
ปลาดุกย่าง,5,92,460
แหนม,1,88,88
ตำแตง,3,86,258
แหนม,4,100,400
ซุปหน่อไม้,1,66,66
ซุปหน่อไม้,2,59,118
ตำปู,5,78,390
ตำแตง,1,88,88
ตำปู,4,43,172
ข้าวเหนียว,1,117,117
หมกหน่อไม้,3,138,414
แหนม,2,49,98
ข้าวเหนียว,5,130,650
ลาบหมู,1,121,121
ข้าวจี่,1,44,44
ตำแตง,2,58,116
ตำไทย,4,58,232
แกงอ่อม,3,62,186
ลาบหมู,5,64,320
ไก่ย่าง,2,106,212
ตำแตง,4,103,412
ต้มแซ่บ,1,117,117
ปลาดุกย่าง,3,106,318
ปลาดุกย่าง,2,67,134
ปลาดุกย่าง,5,148,740
ปลาร้าบอง,3,32,96
ไส้กรอกอีสาน,4,73,292
ซุปหน่อไม้,4,117,468
ต้มแซ่บ,5,85,425
ซุปหน่อไม้,2,150,300
ลาบหมู,5,57,285
ข้าวจี่,4,47,188
แจ่วบอง,3,31,93
หมกหน่อไม้,1,133,133
ปลาดุกย่าง,5,85,425
น้ำตกหมู,1,74,74
ต้มแซ่บ,5,30,150
ปลาร้าบอง,3,60,180
ตำไทย,1,60,60
หมูยอ,5,82,410
แจ่วบอง,2,147,294
หมกหน่อไม้,1,82,82
ไส้กรอกอีสาน,4,136,544
ตำไทย,1,36,36
ตำไทย,2,51,102
แจ่วบอง,4,113,452
ไก่ย่าง,3,44,132
ก้อยปลา,4,125,500
ข้าวเหนียว,4,102,408
ซุปหน่อไม้,1,122,122
ลาบหมู,3,73,219
ไส้กรอกอีสาน,1,59,59
ไส้กรอกอีสาน,3,129,387
ลาบหมู,4,75,300
หมูยอ,5,103,515
ไส้กรอกอีสาน,2,75,150
ข้าวจี่,1,45,45
ตำปู,1,31,31
ตำปู,4,143,572
ตำไทย,2,124,248
น้ำตกหมู,5,58,290
ซุปหน่อไม้,4,34,136
ก้อยปลา,1,64,64
ลาบหมู,4,54,216
ปลาดุกย่าง,5,50,250
แกงอ่อม,1,75,75
ข้าวเหนียว,2,104,208
ปลาร้าบอง,2,139,278
ปลาดุกย่าง,2,35,70
ตำแตง,2,97,194
ปลาดุกย่าง,2,66,132
แจ่วบอง,2,91,182
ก้อยปลา,3,38,114
ต้มแซ่บ,1,30,30
ลาบหมู,3,109,327
ข้าวจี่,3,126,378
แกงอ่อม,5,46,230
ตำปู,5,37,185
น้ำตกหมู,2,63,126
ข้าวเหนียว,4,31,124
หมกหน่อไม้,1,52,52
ไก่ย่าง,5,65,325
ลาบหมู,5,145,725
ตำแตง,5,51,255
น้ำตกหมู,2,96,192
แกงอ่อม,3,114,342
ข้าวเหนียว,3,89,267
ก้อยปลา,3,99,297
หมกหน่อไม้,1,82,82
ตำไทย,3,149,447
แหนม,1,38,38
ก้อยปลา,1,136,136
ปลาร้าบอง,2,84,168
ตำปู,5,44,220
ไก่ย่าง,2,67,134
ตำแตง,4,80,320
ลาบหมู,2,57,114
หมกหน่อไม้,5,55,275
ลาบหมู,1,70,70
แหนม,5,148,740
แกงอ่อม,3,64,192
ซุปหน่อไม้,2,84,168
แกงอ่อม,3,86,258
ไส้กรอกอีสาน,1,75,75
ไส้กรอกอีสาน,1,101,101
หมูยอ,4,79,316
ลาบหมู,5,68,340
แหนม,3,130,390
น้ำตกหมู,5,85,425
แกงอ่อม,1,135,135
ก้อยปลา,4,58,232
ข้าวจี่,2,140,280
แจ่วบอง,4,143,572
ซุปหน่อไม้,1,55,55
แจ่วบอง,2,79,158
ปลาดุกย่าง,2,39,78
ปลาดุกย่าง,4,139,556
หมกหน่อไม้,2,50,100
หมกหน่อไม้,3,89,267
ก้อยปลา,5,149,745
ปลาดุกย่าง,2,30,60
หมกหน่อไม้,4,86,344
หมูยอ,2,138,276
แจ่วบอง,5,52,260
แหนม,2,135,270
ข้าวจี่,1,67,67
ก้อยปลา,1,90,90
หมกหน่อไม้,2,73,146
ลาบหมู,3,106,318
ก้อยปลา,1,74,74
แกงอ่อม,1,39,39
ลาบหมู,2,124,248
แหนม,4,35,140
ก้อยปลา,5,124,620
ลาบหมู,4,80,320
ไส้กรอกอีสาน,5,56,280
ต้มแซ่บ,5,103,515
ไส้กรอกอีสาน,4,99,396
แหนม,2,135,270
แหนม,4,79,316
ซุปหน่อไม้,1,115,115
ข้าวจี่,4,139,556
หมูยอ,1,61,61
แหนม,1,30,30
ไก่ย่าง,4,140,560
ตำปู,2,80,160
ไก่ย่าง,1,32,32
ต้มแซ่บ,2,43,86
ต้มแซ่บ,1,31,31
แจ่วบอง,4,136,544
ตำปู,1,74,74
ส้มตำ,5,101,505
หมูยอ,4,95,380
ซุปหน่อไม้,2,73,146
ปลาดุกย่าง,2,101,202
ไส้กรอกอีสาน,2,69,138
น้ำตกหมู,5,58,290
หมูยอ,1,113,113
ต้มแซ่บ,4,143,572
ปลาร้าบอง,3,129,387
ข้าวเหนียว,2,108,216
น้ำตกหมู,1,118,118
ก้อยปลา,1,60,60
ต้มแซ่บ,1,105,105
แจ่วบอง,4,96,384
ตำปู,3,145,435
ส้มตำ,1,83,83
ปลาดุกย่าง,4,34,136
แหนม,3,95,285
หมกหน่อไม้,4,35,140
ก้อยปลา,2,142,284
แกงอ่อม,3,101,303
ปลาร้าบอง,2,33,66
ลาบหมู,5,57,285
ไส้กรอกอีสาน,2,131,262
ตำไทย,1,58,58
ไก่ย่าง,1,130,130
ซุปหน่อไม้,1,88,88
ตำปู,3,114,342
ตำแตง,5,143,715
ส้มตำ,2,87,174
ไก่ย่าง,4,72,288
ข้าวเหนียว,1,102,102
ตำแตง,2,75,150
ตำแตง,3,101,303
ลาบหมู,2,139,278
ข้าวจี่,3,49,147
ไส้กรอกอีสาน,1,118,118
ข้าวเหนียว,2,41,82
ต้มแซ่บ,5,61,305
ก้อยปลา,1,124,124
ข้าวเหนียว,4,96,384
ไส้กรอกอีสาน,5,81,405
ต้มแซ่บ,3,139,417
ปลาดุกย่าง,1,103,103
ซุปหน่อไม้,5,143,715
ข้าวเหนียว,4,122,488
ส้มตำ,1,131,131
ก้อยปลา,3,133,399
แหนม,5,59,295
ลาบหมู,5,61,305
ส้มตำ,5,146,730
น้ำตกหมู,3,112,336
ไก่ย่าง,3,120,360
หมกหน่อไม้,4,88,352
ข้าวเหนียว,2,103,206
ต้มแซ่บ,2,40,80
ไก่ย่าง,4,147,588
แจ่วบอง,3,103,309
ข้าวเหนียว,1,75,75
ไส้กรอกอีสาน,3,48,144
แกงอ่อม,5,111,555
ไก่ย่าง,2,36,72
แกงอ่อม,2,39,78
ลาบหมู,2,30,60
น้ำตกหมู,4,106,424
ต้มแซ่บ,5,117,585
ก้อยปลา,4,38,152
หมกหน่อไม้,3,45,135
แหนม,3,50,150
น้ำตกหมู,4,34,136
ลาบหมู,5,76,380
ข้าวเหนียว,4,48,192
ต้มแซ่บ,3,32,96
ลาบหมู,4,144,576
หมกหน่อไม้,4,58,232
ลาบหมู,2,144,288
ต้มแซ่บ,1,41,41
ส้มตำ,3,45,135
ข้าวเหนียว,1,124,124
ข้าวจี่,5,49,245
น้ำตกหมู,2,53,106
ข้าวเหนียว,4,131,524
แจ่วบอง,4,105,420
ไก่ย่าง,2,89,178
ไก่ย่าง,2,123,246
แจ่วบอง,3,108,324
ไก่ย่าง,1,33,33
แกงอ่อม,1,101,101
ปลาดุกย่าง,4,125,500
ส้มตำ,4,56,224
หมกหน่อไม้,1,37,37
ตำไทย,2,112,224
ก้อยปลา,4,139,556
ต้มแซ่บ,2,52,104
แหนม,1,45,45
ต้มแซ่บ,2,105,210
แกงอ่อม,1,43,43
ซุปหน่อไม้,4,142,568
ปลาดุกย่าง,3,149,447
ปลาร้าบอง,5,84,420
ไส้กรอกอีสาน,4,108,432
ตำแตง,2,66,132
หมกหน่อไม้,3,123,369
แหนม,3,103,309
แกงอ่อม,3,65,195
ก้อยปลา,5,42,210
ลาบหมู,5,76,380
ไก่ย่าง,1,138,138
ลาบหมู,3,36,108
ข้าวเหนียว,4,146,584
แจ่วบอง,4,82,328
ตำแตง,4,101,404
ตำปู,1,105,105
น้ำตกหมู,5,115,575
ซุปหน่อไม้,1,48,48
ซุปหน่อไม้,2,97,194
ปลาร้าบอง,5,129,645
ไส้กรอกอีสาน,2,102,204
ซุปหน่อไม้,5,138,690
ไส้กรอกอีสาน,3,127,381
หมกหน่อไม้,1,58,58
ตำไทย,4,150,600
ตำปู,4,73,292
ข้าวจี่,2,95,190
ปลาดุกย่าง,2,63,126
ไก่ย่าง,1,137,137
ซุปหน่อไม้,1,107,107
แกงอ่อม,1,124,124
แหนม,3,39,117
ต้มแซ่บ,1,103,103
หมูยอ,2,137,274
ปลาร้าบอง,4,145,580
ข้าวจี่,1,118,118
ต้มแซ่บ,3,93,279
หมกหน่อไม้,2,126,252
หมูยอ,1,41,41
ปลาดุกย่าง,2,83,166
ต้มแซ่บ,4,79,316
ตำปู,3,126,378
ซุปหน่อไม้,2,121,242
ลาบหมู,3,130,390
ไก่ย่าง,4,32,128
ไก่ย่าง,5,94,470
ส้มตำ,5,113,565
ต้มแซ่บ,4,133,532
ส้มตำ,2,92,184
ข้าวเหนียว,5,70,350
ลาบหมู,4,85,340
ซุปหน่อไม้,1,79,79
ปลาร้าบอง,2,50,100
ไก่ย่าง,3,94,282
แหนม,1,89,89
หมูยอ,5,53,265
ก้อยปลา,4,107,428
ปลาร้าบอง,5,76,380
ข้าวจี่,1,111,111
ไส้กรอกอีสาน,3,63,189
ข้าวเหนียว,5,67,335
ปลาร้าบอง,5,126,630
หมกหน่อไม้,2,53,106
ไก่ย่าง,1,31,31
ส้มตำ,5,34,170
ต้มแซ่บ,4,74,296
ข้าวเหนียว,1,122,122
ตำปู,2,68,136
ส้มตำ,2,33,66
ข้าวเหนียว,4,77,308
แจ่วบอง,4,98,392
แกงอ่อม,1,85,85
ปลาดุกย่าง,3,117,351
ปลาดุกย่าง,3,142,426
แหนม,2,127,254
ข้าวจี่,1,85,85
ไส้กรอกอีสาน,1,123,123
แหนม,5,44,220
ส้มตำ,5,103,515
แจ่วบอง,2,78,156
ตำแตง,5,46,230
ปลาดุกย่าง,3,147,441
ไก่ย่าง,5,108,540
ข้าวจี่,5,119,595
น้ำตกหมู,5,99,495
หมกหน่อไม้,2,135,270
ตำไทย,3,130,390
ปลาดุกย่าง,1,57,57
ข้าวจี่,5,61,305
ตำไทย,5,42,210
ตำปู,3,54,162
ข้าวเหนียว,1,110,110
ปลาดุกย่าง,4,147,588
ไส้กรอกอีสาน,3,80,240
ก้อยปลา,4,74,296
ตำแตง,2,35,70
ข้าวจี่,4,35,140
ข้าวเหนียว,3,105,315
ปลาดุกย่าง,5,99,495
หมกหน่อไม้,4,80,320
น้ำตกหมู,4,98,392
หมูยอ,5,131,655
ตำไทย,2,66,132
ซุปหน่อไม้,5,135,675
ตำแตง,1,56,56
น้ำตกหมู,1,76,76
ต้มแซ่บ,1,92,92
ข้าวจี่,3,43,129
ต้มแซ่บ,4,137,548
ปลาดุกย่าง,4,128,512
ส้มตำ,5,82,410
หมกหน่อไม้,2,131,262
ข้าวเหนียว,5,148,740
ก้อยปลา,5,34,170
ต้มแซ่บ,1,132,132
น้ำตกหมู,2,128,256
ก้อยปลา,1,41,41
ตำปู,3,146,438
หมูยอ,5,104,520
ปลาร้าบอง,1,100,100
ส้มตำ,2,118,236
ซุปหน่อไม้,3,55,165
ปลาร้าบอง,5,32,160
ตำแตง,1,132,132
หมกหน่อไม้,3,121,363
น้ำตกหมู,3,125,375
น้ำตกหมู,2,118,236
ไก่ย่าง,5,84,420
หมูยอ,4,101,404
ไส้กรอกอีสาน,5,99,495
หมูยอ,5,60,300
น้ำตกหมู,3,44,132
แกงอ่อม,3,120,360
หมกหน่อไม้,4,64,256
น้ำตกหมู,5,96,480
ซุปหน่อไม้,1,50,50
น้ำตกหมู,5,93,465
ก้อยปลา,2,114,228
แกงอ่อม,2,146,292
ก้อยปลา,5,99,495
ซุปหน่อไม้,4,63,252
ไก่ย่าง,4,100,400
น้ำตกหมู,3,112,336
แหนม,3,150,450
ข้าวเหนียว,5,56,280
ซุปหน่อไม้,2,99,198
ตำปู,2,71,142
ข้าวจี่,4,109,436
หมูยอ,1,82,82
ต้มแซ่บ,1,107,107
ลาบหมู,5,110,550
ข้าวเหนียว,2,57,114
ปลาดุกย่าง,3,114,342
ปลาดุกย่าง,5,99,495
ตำปู,1,53,53
แหนม,4,39,156
ข้าวเหนียว,1,146,146
ซุปหน่อไม้,5,81,405
ซุปหน่อไม้,4,128,512
แหนม,4,96,384
ตำไทย,3,83,249
ปลาร้าบอง,3,123,369
ข้าวเหนียว,2,94,188
หมกหน่อไม้,1,100,100
ตำแตง,1,110,110
แหนม,4,138,552
ไก่ย่าง,2,129,258
แจ่วบอง,3,62,186
ตำปู,3,81,243
ต้มแซ่บ,4,53,212
ไก่ย่าง,1,67,67
ปลาดุกย่าง,5,129,645
ต้มแซ่บ,1,33,33
ข้าวเหนียว,3,44,132
ต้มแซ่บ,1,121,121
ไส้กรอกอีสาน,1,64,64
น้ำตกหมู,2,39,78
น้ำตกหมู,4,82,328
ก้อยปลา,4,74,296
ก้อยปลา,3,138,414
ไส้กรอกอีสาน,3,54,162
ลาบหมู,5,147,735
ปลาดุกย่าง,5,119,595
น้ำตกหมู,2,121,242
หมกหน่อไม้,4,144,576
ก้อยปลา,1,149,149
ตำแตง,2,91,182
ลาบหมู,5,113,565
น้ำตกหมู,1,106,106
แจ่วบอง,1,84,84
น้ำตกหมู,5,102,510
ข้าวเหนียว,5,127,635
ข้าวเหนียว,4,105,420
ซุปหน่อไม้,1,62,62
ตำแตง,3,59,177
หมูยอ,3,136,408
ข้าวเหนียว,4,102,408
ปลาดุกย่าง,2,111,222
ก้อยปลา,4,100,400
ปลาร้าบอง,5,127,635
ตำไทย,4,111,444
ต้มแซ่บ,3,95,285
หมูยอ,1,136,136
แหนม,3,74,222
ก้อยปลา,5,52,260
ซุปหน่อไม้,5,120,600
ก้อยปลา,3,82,246
ลาบหมู,5,132,660
ข้าวจี่,4,60,240
หมูยอ,1,141,141
ตำปู,3,89,267
หมูยอ,3,112,336
หมูยอ,3,141,423
ซุปหน่อไม้,5,144,720
ตำไทย,1,142,142
หมูยอ,4,123,492
ข้าวจี่,3,40,120
ส้มตำ,4,96,384
ลาบหมู,5,45,225
ตำไทย,3,141,423
ไก่ย่าง,3,150,450
หมกหน่อไม้,2,50,100
แกงอ่อม,3,59,177
ตำปู,3,58,174
แหนม,2,79,158
ตำไทย,1,71,71
แหนม,2,90,180
ส้มตำ,5,91,455
แจ่วบอง,5,144,720
ส้มตำ,2,42,84
ข้าวจี่,4,121,484
ปลาดุกย่าง,2,58,116
ตำปู,1,121,121
หมูยอ,3,127,381
ปลาร้าบอง,2,145,290
แจ่วบอง,5,121,605
ปลาร้าบอง,5,119,595
น้ำตกหมู,4,136,544
หมกหน่อไม้,1,114,114
ต้มแซ่บ,5,126,630
หมกหน่อไม้,2,117,234
หมูยอ,2,139,278
ตำปู,4,71,284
ก้อยปลา,1,128,128
แจ่วบอง,4,139,556
แหนม,5,71,355
ปลาดุกย่าง,1,122,122
ไก่ย่าง,2,55,110
ตำปู,5,30,150
ตำปู,4,98,392
ไก่ย่าง,3,127,381
ตำแตง,4,58,232
ตำปู,3,147,441
ปลาร้าบอง,2,116,232
ตำปู,5,112,560
ตำแตง,2,72,144
หมกหน่อไม้,5,120,600
แหนม,2,31,62
แหนม,3,95,285
ต้มแซ่บ,1,89,89
ตำปู,4,140,560
แกงอ่อม,3,133,399
ไก่ย่าง,1,43,43
แจ่วบอง,1,34,34
ข้าวจี่,5,107,535
ก้อยปลา,3,105,315
แหนม,2,139,278
ตำปู,5,31,155
ข้าวจี่,1,47,47
ไก่ย่าง,3,65,195
น้ำตกหมู,2,134,268
ตำไทย,3,110,330
ส้มตำ,4,66,264
ตำแตง,5,137,685
ไก่ย่าง,2,62,124
ตำปู,4,98,392
แจ่วบอง,2,55,110
หมูยอ,4,43,172
ตำแตง,2,103,206
ส้มตำ,5,120,600
หมกหน่อไม้,4,90,360
ข้าวเหนียว,2,58,116
ต้มแซ่บ,2,91,182
ก้อยปลา,4,49,196
ซุปหน่อไม้,2,60,120
ซุปหน่อไม้,4,70,280
ข้าวเหนียว,5,121,605
ซุปหน่อไม้,1,31,31
ก้อยปลา,4,66,264
ก้อยปลา,2,138,276
ตำแตง,1,91,91
ตำไทย,3,50,150
ตำแตง,3,71,213
หมกหน่อไม้,1,43,43
หมกหน่อไม้,2,55,110
ข้าวเหนียว,1,134,134
น้ำตกหมู,5,133,665
ปลาร้าบอง,4,116,464
ข้าวเหนียว,1,56,56
น้ำตกหมู,2,109,218
ข้าวจี่,3,72,216
ไก่ย่าง,5,32,160
ซุปหน่อไม้,5,66,330
ไส้กรอกอีสาน,2,84,168
แหนม,2,105,210
แหนม,5,38,190
ก้อยปลา,2,132,264
แกงอ่อม,4,34,136
ตำไทย,4,30,120
ตำปู,3,128,384
ส้มตำ,1,88,88
ข้าวจี่,4,83,332
ข้าวจี่,2,127,254
ก้อยปลา,5,79,395
แกงอ่อม,1,96,96
ตำปู,4,37,148
ข้าวจี่,1,139,139
ตำแตง,5,143,715
แกงอ่อม,2,97,194
ตำไทย,1,35,35
แกงอ่อม,5,134,670
ก้อยปลา,1,136,136
ก้อยปลา,5,39,195
ซุปหน่อไม้,3,95,285
ปลาดุกย่าง,4,64,256
ส้มตำ,5,111,555
ข้าวเหนียว,3,66,198
ตำแตง,1,48,48
ตำปู,3,120,360
ตำแตง,1,32,32
ซุปหน่อไม้,1,30,30
ซุปหน่อไม้,2,67,134
ข้าวจี่,1,46,46
น้ำตกหมู,3,71,213
หมูยอ,5,136,680
ปลาร้าบอง,3,112,336
ไส้กรอกอีสาน,3,50,150
ตำไทย,2,105,210
ปลาร้าบอง,5,66,330
น้ำตกหมู,4,90,360
น้ำตกหมู,2,45,90
แหนม,3,101,303
ลาบหมู,3,74,222
ตำปู,4,105,420
ข้าวเหนียว,3,77,231
ตำแตง,2,105,210
ปลาดุกย่าง,2,127,254
ตำปู,3,127,381
ก้อยปลา,1,38,38
ไส้กรอกอีสาน,1,114,114
ปลาร้าบอง,4,77,308
ตำแตง,3,129,387
ซุปหน่อไม้,5,104,520
ไก่ย่าง,3,149,447
ตำไทย,2,104,208
ส้มตำ,5,142,710
ข้าวจี่,1,89,89
ซุปหน่อไม้,5,42,210
แหนม,5,56,280
ซุปหน่อไม้,2,35,70
ซุปหน่อไม้,5,44,220
ข้าวจี่,2,101,202
แหนม,2,61,122
ปลาดุกย่าง,4,126,504
ต้มแซ่บ,5,120,600
หมูยอ,5,147,735
หมูยอ,4,83,332
ส้มตำ,5,84,420
ปลาดุกย่าง,4,107,428
หมกหน่อไม้,5,30,150
ต้มแซ่บ,1,119,119
ข้าวจี่,5,96,480
หมูยอ,4,75,300
